HGNC,BaseMean,log2FC,StdErr,Wald-Stats,P-value,P-adj
ASH1L,132.982279991517,-1.00207880671625,0.192894094947218,-5.19496880913048,2.04754166666619E-07,1.40739907148868E-05
KLF5,84.2066600445753,-1.12081286829575,0.216018707644583,-5.18849909119828,2.11995796359545E-07,1.44981569621445E-05
CHD2,790.384778110266,-0.815457629232909,0.157337641294132,-5.18285149393125,2.18519026581389E-07,1.48691765775808E-05
WNT9A,784.19588336891,-0.721661088455817,0.139349612208928,-5.1787807444618,2.23340773743479E-07,1.51212870863022E-05
ECI1,2597.01818180573,0.576366276572692,0.111398533601217,5.17391259956759,2.29242088586964E-07,1.54436175201795E-05
UCA1,3283.75536006027,0.544077840700689,0.10539982203141,5.16203756528687,2.44276253349184E-07,1.63749739930758E-05
RCOR1,484.37057383664,-0.867641631446126,0.168316737531713,-5.15481492910146,2.53881545421931E-07,1.6830941067786E-05
EIF3G,5926.43558311649,0.563630427901372,0.109355042136035,5.15413296810062,2.5480709836025E-07,1.6830941067786E-05
DNPH1,1496.43794785517,0.513767631965193,0.099667991530885,5.15479066121229,2.53914425841168E-07,1.6830941067786E-05
TNKS2,487.348111071731,-0.660737850864669,0.128349957275901,-5.14793978033315,2.63363006777782E-07,1.73116430814463E-05
RLF,88.8376386244887,-1.05972548080095,0.206178358030998,-5.13984828922553,2.74960381631132E-07,1.79866595539477E-05
WDR26,920.585834317885,-0.743334310512328,0.145090674629289,-5.1232397423995,3.0033008762403E-07,1.95517774832548E-05
TFB2M,306.159921202226,-0.766762113114977,0.149729841806411,-5.12097056848787,3.03967090139374E-07,1.9693867787451E-05
COL17A1,381.205209120572,0.637184987619165,0.124760411578536,5.10726904117386,3.26848220664684E-07,2.10168562422777E-05
OAS1,59.1649560273098,1.17317052257994,0.229793602863929,5.1053228112474,3.30230291685186E-07,2.10168562422777E-05
DGCR6L,3455.56856065719,0.535424919259004,0.104876216529814,5.10530353759278,3.30263952924902E-07,2.10168562422777E-05
SPRY4,148.090004543481,-1.08044839032586,0.211640406605708,-5.10511394139763,3.30595257337357E-07,2.10168562422777E-05
MAP3K10,649.173920239477,0.584237465416398,0.114572189649845,5.09929562489765,3.40919746360345E-07,2.15719359133899E-05
NR3C1,232.773483242008,-0.833627312260698,0.16352426892047,-5.09788129776707,3.43476077370977E-07,2.16326026217693E-05
PTP4A1,1248.92071053717,-0.526884350533537,0.10356490035932,-5.08747991554575,3.62852799009742E-07,2.2747174774958E-05
FEM1C,40.8555057735133,-1.16898168684783,0.230302175221223,-5.07586038093184,3.85746476914276E-07,2.40709356861576E-05
GHDC,555.422967627712,0.725761888951217,0.143250313955431,5.06638951714283,4.05431883316083E-07,2.51832712476288E-05
IGF2BP1,5150.973248437,-0.447982296911481,0.088467773658793,-5.06379078374099,4.11000692278188E-07,2.5412604448123E-05
CYB5R1,1219.16839369383,0.526286651769187,0.104011969846781,5.05986621101833,4.19550755037316E-07,2.57649254794065E-05
MYCN,116.040498443651,-0.982877590284311,0.194266339253507,-5.05943332262883,4.20504285573358E-07,2.57649254794065E-05
NCOA3,651.03071430684,-0.560016604292734,0.110939775011555,-5.04793347773064,4.46614589286389E-07,2.72414781690405E-05
SPNS1,1625.37791159493,0.558336196444342,0.110675817622312,5.044789443975,4.54021058944111E-07,2.75542931109485E-05
PRRG2,163.125774829532,0.851127116975776,0.168739293564808,5.04403627035978,4.55812839291963E-07,2.75542931109485E-05
AP5Z1,2661.22668587571,0.516655897150352,0.102647819985258,5.03328660291619,4.82141468442123E-07,2.90163449963324E-05
MAP3K11,802.790778467608,0.569247332168114,0.113149058511705,5.03095067387792,4.88053712276305E-07,2.92421916722719E-05
SH3RF1,232.107743696233,-0.856522174062862,0.17032352129028,-5.02879559777951,4.9357018171821E-07,2.94424397825827E-05
ZZZ3,316.243038760412,-0.78822436116226,0.156848151339832,-5.02539784134574,5.02389949210057E-07,2.98371153607605E-05
SIRT2,813.258791081208,0.562910201331218,0.112057260296229,5.02341570589125,5.07605090790257E-07,2.99351148586592E-05
C19orf48,2153.6702905526,0.541924394557587,0.107886613062858,5.02309210728345,5.0846144431664E-07,2.99351148586592E-05
